apto,torre,vaga
1A,A,simples
2A,A,simples
3A,A,simples
4A,A,simples
11A,A,descoberta
12A,A,simples
13A,A,descoberta
14A,A,simples
15A,A,descoberta
16A,A,simples
17A,A,descoberta
18A,A,simples
21A,A,descoberta
22A,A,simples
23A,A,descoberta
24A,A,simples
25A,A,descoberta
26A,A,simples
27A,A,descoberta
28A,A,simples
31A,A,descoberta
32A,A,simples
33A,A,descoberta
34A,A,simples
35A,A,simples
36A,A,simples
37A,A,descoberta
38A,A,simples
41A,A,simples
42A,A,simples
43A,A,simples
44A,A,simples
45A,A,simples
46A,A,simples
47A,A,simples
48A,A,simples
51A,A,simples
52A,A,simples
53A,A,simples
54A,A,simples
55A,A,simples
56A,A,simples
57A,A,simples
58A,A,simples
61A,A,simples
62A,A,simples
63A,A,simples
64A,A,simples
65A,A,simples
66A,A,simples
67A,A,simples
68A,A,simples
71A,A,simples
72A,A,simples
73A,A,simples
74A,A,simples
75A,A,simples
76A,A,simples
77A,A,simples
78A,A,simples
81A,A,simples
82A,A,simples
83A,A,simples
84A,A,simples
85A,A,simples
86A,A,simples
87A,A,simples
88A,A,simples
91A,A,simples
92A,A,dupla
93A,A,simples
94A,A,simples
95A,A,simples
96A,A,simples
97A,A,simples
98A,A,simples
101A,A,simples
102A,A,dupla
103A,A,simples
104A,A,dupla
105A,A,simples
106A,A,dupla
107A,A,simples
108A,A,dupla
111A,A,simples
112A,A,dupla
113A,A,simples
114A,A,dupla
115A,A,simples
116A,A,dupla
117A,A,simples
118A,A,dupla
121A,A,simples
122A,A,dupla
123A,A,simples
124A,A,dupla
125A,A,simples
126A,A,dupla
127A,A,simples
128A,A,dupla
131A,A,simples
132A,A,dupla
133A,A,simples
134A,A,dupla
135A,A,simples
136A,A,dupla
137A,A,simples
138A,A,dupla
141A,A,simples
142A,A,dupla
143A,A,simples
144A,A,dupla
145A,A,simples
146A,A,dupla
147A,A,simples
148A,A,dupla
151A,A,simples
152A,A,dupla
153A,A,simples
154A,A,dupla
155A,A,simples
156A,A,dupla
157A,A,simples
158A,A,dupla
161A,A,simples
162A,A,dupla
163A,A,simples
164A,A,dupla
165A,A,simples
166A,A,dupla
167A,A,simples
168A,A,dupla
171A,A,simples
172A,A,dupla
173A,A,simples
174A,A,dupla
175A,A,simples
176A,A,dupla
177A,A,simples
178A,A,dupla
4B,B,simples
5B,B,simples
6B,B,simples
7B,B,simples
8B,B,simples
11B,B,descoberta
12B,B,simples
13B,B,descoberta
14B,B,simples
15B,B,descoberta
16B,B,simples
17B,B,descoberta
18B,B,simples
21B,B,descoberta
22B,B,simples
23B,B,descoberta
24B,B,simples
25B,B,descoberta
26B,B,simples
27B,B,descoberta
28B,B,simples
31B,B,descoberta
32B,B,simples
33B,B,descoberta
34B,B,simples
35B,B,descoberta
36B,B,simples
37B,B,descoberta
38B,B,simples
41B,B,simples
42B,B,simples
43B,B,simples
44B,B,simples
45B,B,simples
46B,B,simples
47B,B,simples
48B,B,simples
51B,B,simples
52B,B,simples
53B,B,simples
54B,B,simples
55B,B,simples
56B,B,simples
57B,B,simples
58B,B,simples
61B,B,simples
62B,B,simples
63B,B,simples
64B,B,simples
65B,B,simples
66B,B,simples
67B,B,simples
68B,B,simples
71B,B,simples
72B,B,simples
73B,B,simples
74B,B,simples
75B,B,simples
76B,B,simples
77B,B,simples
78B,B,simples
81B,B,simples
82B,B,simples
83B,B,simples
84B,B,simples
85B,B,simples
86B,B,simples
87B,B,simples
88B,B,simples
91B,B,simples
92B,B,dupla
93B,B,simples
94B,B,simples
95B,B,simples
96B,B,simples
97B,B,simples
98B,B,simples
101B,B,simples
102B,B,dupla
103B,B,simples
104B,B,dupla
105B,B,simples
106B,B,dupla
107B,B,simples
108B,B,dupla
111B,B,simples
112B,B,dupla
113B,B,simples
114B,B,dupla
115B,B,simples
116B,B,dupla
117B,B,simples
118B,B,dupla
121B,B,simples
122B,B,dupla
123B,B,simples
124B,B,dupla
125B,B,simples
126B,B,dupla
127B,B,simples
128B,B,dupla
131B,B,simples
132B,B,dupla
133B,B,simples
134B,B,dupla
135B,B,simples
136B,B,dupla
137B,B,simples
138B,B,dupla
141B,B,simples
142B,B,dupla
143B,B,simples
144B,B,dupla
145B,B,simples
146B,B,dupla
147B,B,simples
148B,B,dupla
151B,B,simples
152B,B,dupla
153B,B,simples
154B,B,dupla
155B,B,simples
156B,B,dupla
157B,B,simples
158B,B,dupla
161B,B,simples
162B,B,dupla
163B,B,simples
164B,B,dupla
165B,B,simples
166B,B,dupla
167B,B,simples
168B,B,dupla
171B,B,simples
172B,B,dupla
173B,B,simples
174B,B,dupla
175B,B,simples
176B,B,dupla
177B,B,simples
178B,B,dupla
