seed: 157818102171179369220212439216347577930
numero vaga,andar,apartamento
1,-3,154A
2,-3,154A
3,-3,136A
4,-3,136A
5,-3,114A
6,-3,114A
7,-3,151A
8,-3,88A
9,-3,126A
10,-3,126A
11,-3,55A
12,-3,81A
13,-3,138A
14,-3,138A
15,-3,125A
16,-3,113A
17,-3,68A
18,-3,116A
19,-3,116A
20,-3,56A
21,-3,77A
22,-3,104A
23,-3,104A
24,-3,106A
25,-3,106A
26,-3,134A
27,-3,134A
28,-3,108A
29,-3,108A
30,-3,144A
31,-3,144A
32,-3,121A
33,-3,72A
34,-3,92A
35,-3,175A
36,-3,67A
37,-3,164A
38,-3,164A
39,-3,118A
40,-3,118A
41,-3,168A
42,-3,168A
43,-3,128A
44,-3,128A
45,-3,64A
46,-3,58A
47,-3,137A
48,-3,84A
49,-3,146A
50,-3,146A
51,-3,176A
52,-3,176A
53,-3,132A
54,-3,132A
55,-3,162A
56,-3,162A
57,-3,87A
58,-3,63A
59,-3,44A
60,-3,123A
61,-3,161A
62,-3,94A
63,-3,4A
64,-3,38A
65,-3,73A
66,-3,51A
67,-3,53A
68,-3,117A
69,-3,74A
70,-3,57A
71,-3,62A
72,-3,43A
73,-3,143A
74,-3,127A
75,-3,24A
76,-3,101A
77,-3,42A
78,-3,91A
79,-3,96A
80,-3,93A
81,-3,76A
82,-3,177A
83,-3,163A
84,-3,47A
85,-3,78A
86,-3,135A
87,-3,141A
88,-3,173A
89,-3,147A
90,-3,52A
91,-3,35A
92,-3,54A
93,-3,148A
94,-3,148A
95,-3,83A
96,-3,12A
97,-3,105A
98,-3,103A
99,-3,85A
100,-3,61A
101,-3,28A
102,-3,1A
103,-3,46A
104,-3,3A
105,-3,92A
106,-2,112B
107,-2,112B
108,-2,122B
109,-2,122B
110,-2,75B
111,-2,171B
112,-2,158B
113,-2,158B
114,-2,108B
115,-2,108B
116,-2,154B
117,-2,154B
118,-2,168B
119,-2,168B
120,-2,45B
121,-2,26B
122,-2,157B
123,-2,118B
124,-2,118B
125,-2,16B
126,-2,71B
127,-2,162B
128,-2,162B
129,-2,132B
130,-2,132B
131,-2,32B
132,-2,36B
133,-2,117B
134,-2,98B
135,-2,174A
136,-2,174A
137,-2,135B
138,-2,141B
139,-2,158A
140,-2,166A
141,-2,166A
142,-2,71A
143,-2,18A
144,-2,102A
145,-2,102A
146,-2,124A
147,-2,124A
148,-2,26A
149,-2,32A
150,-2,112A
151,-2,112A
152,-2,61B
153,-2,103B
154,-2,164B
155,-2,164B
156,-2,178A
157,-2,178A
158,-2,111B
159,-2,74B
160,-2,114B
161,-2,114B
162,-2,174B
163,-2,174B
164,-2,152A
165,-2,152A
166,-2,102B
167,-2,102B
168,-2,153A
169,-2,157A
170,-2,97A
171,-2,45A
172,-2,111A
173,-2,131A
174,-2,145A
175,-2,121B
176,-2,115B
177,-2,63B
178,-2,86B
179,-2,12B
180,-2,82B
181,-2,96B
182,-2,67B
183,-2,133B
184,-2,65B
185,-2,6B
186,-2,166B
187,-2,166B
188,-2,104B
189,-2,104B
190,-2,172B
191,-2,172B
